sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"RBPJ","Approved symbol","RBPJ","recombination signal binding protein for immunoglobulin kappa J region","HGNC:5724","4p15.2"
"MIR200A","Approved symbol","MIR200A","microRNA 200a","HGNC:31578","1p36.33"
"WASHC3","Approved symbol","WASHC3","WASH complex subunit 3","HGNC:24256","12q23.2"
"MECOM","Approved symbol","MECOM","MDS1 and EVI1 complex locus","HGNC:3498","3q26.2"
"PAGR1","Approved symbol","PAGR1","PAXIP1 associated glutamate rich protein 1","HGNC:28707","16p11.2"
"RBX1","Approved symbol","RBX1","ring-box 1","HGNC:9928","22q13.2"
"YY1","Approved symbol","YY1","YY1 transcription factor","HGNC:12856","14q32.2"
"KCNS3","Approved symbol","KCNS3","potassium voltage-gated channel modifier subfamily S member 3","HGNC:6302","2p24.2"
"POT1","Approved symbol","POT1","protection of telomeres 1","HGNC:17284","7q31.33"
"UNC45A","Approved symbol","UNC45A","unc-45 myosin chaperone A","HGNC:30594","15q26.1"
"HINT1","Approved symbol","HINT1","histidine triad nucleotide binding protein 1","HGNC:4912","5q23.3"
"CYP26A1","Approved symbol","CYP26A1","cytochrome P450 family 26 subfamily A member 1","HGNC:2603","10q23.33"
"KLHL29","Approved symbol","KLHL29","kelch like family member 29","HGNC:29404","2p24.1"
"PRKDC","Approved symbol","PRKDC","protein kinase, DNA-activated, catalytic subunit","HGNC:9413","8q11.21"
"MYH8","Approved symbol","MYH8","myosin heavy chain 8","HGNC:7578","17p13.1"
"NLRP1","Approved symbol","NLRP1","NLR family pyrin domain containing 1","HGNC:14374","17p13"
"ALDOA","Approved symbol","ALDOA","aldolase, fructose-bisphosphate A","HGNC:414","16p11.2"
"SNRPE","Approved symbol","SNRPE","small nuclear ribonucleoprotein polypeptide E","HGNC:11161","1q32.1"
"DIP2A","Approved symbol","DIP2A","disco interacting protein 2 homolog A","HGNC:17217","21q22.3"
"CCR2","Approved symbol","CCR2","C-C motif chemokine receptor 2","HGNC:1603","3p21.31"
"CD63","Approved symbol","CD63","CD63 molecule","HGNC:1692","12q13.2"
"ZNF823","Approved symbol","ZNF823","zinc finger protein 823","HGNC:30936","19p13.2"
"NDUFB9","Approved symbol","NDUFB9","NADH:ubiquinone oxidoreductase subunit B9","HGNC:7704","8q24.13"
"KMT2E","Approved symbol","KMT2E","lysine methyltransferase 2E","HGNC:18541","7q22.3"
"PAICS","Approved symbol","PAICS","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase","HGNC:8587","4q12"
"CLTCL1","Approved symbol","CLTCL1","clathrin heavy chain like 1","HGNC:2093","22q11.21"
"UGP2","Approved symbol","UGP2","UDP-glucose pyrophosphorylase 2","HGNC:12527","2p15"
"ZNF669","Approved symbol","ZNF669","zinc finger protein 669","HGNC:25736","1q44"
"CDC34","Approved symbol","CDC34","cell division cycle 34","HGNC:1734","19p13.3"
"CUTC","Approved symbol","CUTC","cutC copper transporter","HGNC:24271","10q24.2"
"S100A6","Approved symbol","S100A6","S100 calcium binding protein A6","HGNC:10496","1q21.3"
"HLA-DRB3","Approved symbol","HLA-DRB3","major histocompatibility complex, class II, DR beta 3","HGNC:4951","6p21.3 alternate reference locus"
"CNKSR1","Approved symbol","CNKSR1","connector enhancer of kinase suppressor of Ras 1","HGNC:19700","1p36.11"
"KLF10","Approved symbol","KLF10","Kruppel like factor 10","HGNC:11810","8q22.3"
"PMAIP1","Approved symbol","PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1","HGNC:9108","18q21.32"
"KRTAP15-1","Approved symbol","KRTAP15-1","keratin associated protein 15-1","HGNC:18927","21q22.11"
"NACA","Approved symbol","NACA","nascent polypeptide associated complex subunit alpha","HGNC:7629","12q23-q24.1"
"ARMC2","Approved symbol","ARMC2","armadillo repeat containing 2","HGNC:23045","6q21"
"PHGDH","Approved symbol","PHGDH","phosphoglycerate dehydrogenase","HGNC:8923","1p12"
"SSR4","Approved symbol","SSR4","signal sequence receptor subunit 4","HGNC:11326","Xq28"
"TMBIM6","Approved symbol","TMBIM6","transmembrane BAX inhibitor motif containing 6","HGNC:11723","12q13.12"
"RNF213","Approved symbol","RNF213","ring finger protein 213","HGNC:14539","17q25.3"
"FAH","Approved symbol","FAH","fumarylacetoacetate hydrolase","HGNC:3579","15q25.1"
"STPG4","Approved symbol","STPG4","sperm-tail PG-rich repeat containing 4","HGNC:26850","2p21"
"DAO","Approved symbol","DAO","D-amino acid oxidase","HGNC:2671","12q24.11"
"RUBCN","Approved symbol","RUBCN","rubicon autophagy regulator","HGNC:28991","3q29"
"HDAC6","Approved symbol","HDAC6","histone deacetylase 6","HGNC:14064","Xp11.23"
"HMGA2","Approved symbol","HMGA2","high mobility group AT-hook 2","HGNC:5009","12q14.3"
"USH2A","Approved symbol","USH2A","usherin","HGNC:12601","1q41"
"PTPRA","Approved symbol","PTPRA","protein tyrosine phosphatase receptor type A","HGNC:9664","20p13"
"MBD3","Approved symbol","MBD3","methyl-CpG binding domain protein 3","HGNC:6918","19p13.3"
"SP6","Approved symbol","SP6","Sp6 transcription factor","HGNC:14530","17q21.32"
"ATP6V0D1","Approved symbol","ATP6V0D1","ATPase H+ transporting V0 subunit d1","HGNC:13724","16q22.1"
"NFE2","Approved symbol","NFE2","nuclear factor, erythroid 2","HGNC:7780","12q13"
"TGM1","Approved symbol","TGM1","transglutaminase 1","HGNC:11777","14q12"
"NIPSNAP2","Approved symbol","NIPSNAP2","nipsnap homolog 2","HGNC:4179","7p11.2"
"PCBD1","Approved symbol","PCBD1","pterin-4 alpha-carbinolamine dehydratase 1","HGNC:8646","10q22.1"
"HECTD1","Approved symbol","HECTD1","HECT domain E3 ubiquitin protein ligase 1","HGNC:20157","14q12"
"LASP1","Approved symbol","LASP1","LIM and SH3 protein 1","HGNC:6513","17q12"
"PCBP2","Approved symbol","PCBP2","poly(rC) binding protein 2","HGNC:8648","12q13.13"
"AP1M1","Approved symbol","AP1M1","adaptor related protein complex 1 subunit mu 1","HGNC:13667","19p13.11"
"IRS2","Approved symbol","IRS2","insulin receptor substrate 2","HGNC:6126","13q34"
"HBS1L","Approved symbol","HBS1L","HBS1 like translational GTPase","HGNC:4834","6q23.3"
"ZNF638","Approved symbol","ZNF638","zinc finger protein 638","HGNC:17894","2p13.3-p13.2"
"MEX3B","Approved symbol","MEX3B","mex-3 RNA binding family member B","HGNC:25297","15q25.2"
"RASAL2","Approved symbol","RASAL2","RAS protein activator like 2","HGNC:9874","1q25.2"
"MPHOSPH8","Approved symbol","MPHOSPH8","M-phase phosphoprotein 8","HGNC:29810","13q12.11"
"HLA-DRB1","Approved symbol","HLA-DRB1","major histocompatibility complex, class II, DR beta 1","HGNC:4948","6p21.32"
"NPR2","Approved symbol","NPR2","natriuretic peptide receptor 2","HGNC:7944","9p13.3"
"PABPN1","Approved symbol","PABPN1","poly(A) binding protein nuclear 1","HGNC:8565","14q11.2"
"CDK14","Approved symbol","CDK14","cyclin dependent kinase 14","HGNC:8883","7q21.13"
"MRC2","Approved symbol","MRC2","mannose receptor C type 2","HGNC:16875","17q23.2"
"ATP6V0E1","Approved symbol","ATP6V0E1","ATPase H+ transporting V0 subunit e1","HGNC:863","5q35.1"
"VTA1","Approved symbol","VTA1","vesicle trafficking 1","HGNC:20954","6q24.1-q24.2"
"CAD","Approved symbol","CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase","HGNC:1424","2p23.3"
"PANK4","Approved symbol","PANK4","pantothenate kinase 4 (inactive)","HGNC:19366","1p36.32"
"SOX17","Approved symbol","SOX17","SRY-box transcription factor 17","HGNC:18122","8q11.23"
"LRRIQ1","Approved symbol","LRRIQ1","leucine rich repeats and IQ motif containing 1","HGNC:25708","12q21.31"
"RNF144A","Approved symbol","RNF144A","ring finger protein 144A","HGNC:20457","2p25.1"
"PPP4C","Approved symbol","PPP4C","protein phosphatase 4 catalytic subunit","HGNC:9319","16p11.2"
"HINFP","Approved symbol","HINFP","histone H4 transcription factor","HGNC:17850","11q23.3"
"TMEM17","Approved symbol","TMEM17","transmembrane protein 17","HGNC:26623","2p15"
"TPM1","Approved symbol","TPM1","tropomyosin 1","HGNC:12010","15q22.2"
"LPA","Approved symbol","LPA","lipoprotein(a)","HGNC:6667","6q25.3-q26"
"ANKS1B","Approved symbol","ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B","HGNC:24600","12q23.1"
"RPL28","Approved symbol","RPL28","ribosomal protein L28","HGNC:10330","19q13.42"
"ACTL6A","Approved symbol","ACTL6A","actin like 6A","HGNC:24124","3q26.33"
"CORO1C","Approved symbol","CORO1C","coronin 1C","HGNC:2254","12q24.11"
"TK1","Approved symbol","TK1","thymidine kinase 1","HGNC:11830","17q25.3"
"WDR48","Approved symbol","WDR48","WD repeat domain 48","HGNC:30914","3p22.2"
"HOMER3","Approved symbol","HOMER3","homer scaffold protein 3","HGNC:17514","19p13.11"
"LRIG1","Approved symbol","LRIG1","leucine rich repeats and immunoglobulin like domains 1","HGNC:17360","3p14.1"
"NSF","Approved symbol","NSF","N-ethylmaleimide sensitive factor, vesicle fusing ATPase","HGNC:8016","17q21.31"
"MSH6","Approved symbol","MSH6","mutS homolog 6","HGNC:7329","2p16.3"
"SRP14","Approved symbol","SRP14","signal recognition particle 14","HGNC:11299","15q22"
"UBE4B","Approved symbol","UBE4B","ubiquitination factor E4B","HGNC:12500","1p36.22"
"USP21","Approved symbol","USP21","ubiquitin specific peptidase 21","HGNC:12620","1q23.3"
"C2orf49","Approved symbol","C2orf49","chromosome 2 open reading frame 49","HGNC:28772","2q12.2"
"HNRNPUL1","Approved symbol","HNRNPUL1","heterogeneous nuclear ribonucleoprotein U like 1","HGNC:17011","19q13.2"
"SIPA1L1","Approved symbol","SIPA1L1","signal induced proliferation associated 1 like 1","HGNC:20284","14q24.2"
"SLC7A11","Approved symbol","SLC7A11","solute carrier family 7 member 11","HGNC:11059","4q28.3"
"USP17L2","Approved symbol","USP17L2","ubiquitin specific peptidase 17 like family member 2","HGNC:34434","8p23.1"
"MEF2B","Approved symbol","MEF2B","myocyte enhancer factor 2B","HGNC:6995","19p13.11"
"ANXA2","Approved symbol","ANXA2","annexin A2","HGNC:537","15q22.2"
"MIR222","Approved symbol","MIR222","microRNA 222","HGNC:31602","Xp11.3"
"ARPP21","Approved symbol","ARPP21","cAMP regulated phosphoprotein 21","HGNC:16968","3p22.3"
"TMEM267","Approved symbol","TMEM267","transmembrane protein 267","HGNC:26139","5p12"
"THRA","Approved symbol","THRA","thyroid hormone receptor alpha","HGNC:11796","17q21.1"
"MED17","Approved symbol","MED17","mediator complex subunit 17","HGNC:2375","11q21"
"PPHLN1","Approved symbol","PPHLN1","periphilin 1","HGNC:19369","12q12"
"CPNE1","Approved symbol","CPNE1","copine 1","HGNC:2314","20q11.22"
"ZNF408","Approved symbol","ZNF408","zinc finger protein 408","HGNC:20041","11p11.2"
"CFAP97","Approved symbol","CFAP97","cilia and flagella associated protein 97","HGNC:29276","4q35.1"
"TAX1BP3","Approved symbol","TAX1BP3","Tax1 binding protein 3","HGNC:30684","17p13.2"
"MGST2","Approved symbol","MGST2","microsomal glutathione S-transferase 2","HGNC:7063","4q31.1"
"CALD1","Approved symbol","CALD1","caldesmon 1","HGNC:1441","7q33"
"MIF4GD","Approved symbol","MIF4GD","MIF4G domain containing","HGNC:24030","17q25.1"
"CXCR4","Approved symbol","CXCR4","C-X-C motif chemokine receptor 4","HGNC:2561","2q22.1"
"LSM8","Approved symbol","LSM8","LSM8 homolog, U6 small nuclear RNA associated","HGNC:20471","7q31.31"
"ZMYM4","Approved symbol","ZMYM4","zinc finger MYM-type containing 4","HGNC:13055","1p34.3"
"KRT38","Approved symbol","KRT38","keratin 38","HGNC:6456","17q21.2"
"BAX","Approved symbol","BAX","BCL2 associated X, apoptosis regulator","HGNC:959","19q13.33"
"DAGLB","Approved symbol","DAGLB","diacylglycerol lipase beta","HGNC:28923","7p22.1"
"TRUB2","Approved symbol","TRUB2","TruB pseudouridine synthase family member 2","HGNC:17170","9q34.11"
"TRIM71","Approved symbol","TRIM71","tripartite motif containing 71","HGNC:32669","3p22.3"
"MIR92A1","Approved symbol","MIR92A1","microRNA 92a-1","HGNC:31643","13q31.3"
"SSBP2","Approved symbol","SSBP2","single stranded DNA binding protein 2","HGNC:15831","5q14.1"
"RMDN3","Approved symbol","RMDN3","regulator of microtubule dynamics 3","HGNC:25550","15q15.1"
"SRRM1","Approved symbol","SRRM1","serine and arginine repetitive matrix 1","HGNC:16638","1p36.11"
"GOLPH3","Approved symbol","GOLPH3","golgi phosphoprotein 3","HGNC:15452","5p13.3"
"CXCL13","Approved symbol","CXCL13","C-X-C motif chemokine ligand 13","HGNC:10639","4q21.1"
"NOL12","Approved symbol","NOL12","nucleolar protein 12","HGNC:28585","22q13.1"
"APOA2","Approved symbol","APOA2","apolipoprotein A2","HGNC:601","1q23.3"
"RCN2","Approved symbol","RCN2","reticulocalbin 2","HGNC:9935","15q24.3"
"MRE11","Approved symbol","MRE11","MRE11 homolog, double strand break repair nuclease","HGNC:7230","11q21"
"ABRAXAS1","Approved symbol","ABRAXAS1","abraxas 1, BRCA1 A complex subunit","HGNC:25829","4q21.23"
"ZNF423","Approved symbol","ZNF423","zinc finger protein 423","HGNC:16762","16q12.1"
"CRMP1","Approved symbol","CRMP1","collapsin response mediator protein 1","HGNC:2365","4p16.2"
"MARK3","Approved symbol","MARK3","microtubule affinity regulating kinase 3","HGNC:6897","14q32.32-q32.33"
"CAV2","Approved symbol","CAV2","caveolin 2","HGNC:1528","7q31.2"
